[2026-04-04T03:23:47.590Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F400Regular/Gaegu_400Regular.ttf → 200 (7ms, 3164924B)
[2026-04-04T03:23:47.590Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (5ms, 2961780B)
[2026-04-04T03:23:47.621Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo%2Fvector-icons%2Fbuild%2Fvendor%2Freact-native-vector-icons%2FFonts/Ionicons.ttf → 200 (5ms, 389724B)
[2026-04-04T03:23:47.626Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (7ms, 2961780B)
[2026-04-04T03:43:17.669Z] GET http://localhost:8081/ → 200 (7ms, 1280B)
[2026-04-04T03:43:17.678Z] GET http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable → 200 (131ms, 5792680B)
[2026-04-04T03:43:18.021Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F400Regular/Fredoka_400Regular.ttf → 200 (4ms, 50004B)
[2026-04-04T03:43:18.021Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F600SemiBold/Fredoka_600SemiBold.ttf → 200 (5ms, 49900B)
[2026-04-04T03:43:18.021Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F400Regular/Gaegu_400Regular.ttf → 200 (13ms, 3164924B)
[2026-04-04T03:43:18.022Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (14ms, 2961780B)
[2026-04-04T03:43:18.068Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → pending (?ms, ?B)
[2026-04-04T03:43:18.778Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&user_id=eq.97bbb224-f725-4c75-a468-e8e1d116b9a2&order=date.asc → 200 (374ms, 282B)
[2026-04-04T03:44:08.947Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (424ms, 318B)
[2026-04-04T03:44:09.373Z] POST https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=* → pending (?ms, ?B)
[2026-04-04T03:44:09.877Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (104ms, 318B)
[2026-04-04T03:44:09.982Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&user_id=eq.97bbb224-f725-4c75-a468-e8e1d116b9a2&order=date.asc → 200 (199ms, 551B)
[2026-04-04T03:44:23.628Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&id=eq.95baaba7-f627-42f4-828f-d6422d88ac9b → 200 (371ms, 265B)
[2026-04-04T03:44:23.628Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/memories?select=*&wedding_id=eq.95baaba7-f627-42f4-828f-d6422d88ac9b → 200 (147ms, 2B)
[2026-04-04T03:44:24.020Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo%2Fvector-icons%2Fbuild%2Fvendor%2Freact-native-vector-icons%2FFonts/Ionicons.ttf → 200 (16ms, 389724B)
[2026-04-04T03:44:24.033Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (13ms, 2961780B)
[2026-04-04T03:44:42.891Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (115ms, 318B)
[2026-04-04T03:44:43.007Z] POST https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/memories?on_conflict=wedding_id&select=* → 201 (159ms, 269B)
[2026-04-04T03:44:43.179Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/memories?select=*&wedding_id=eq.95baaba7-f627-42f4-828f-d6422d88ac9b → 200 (129ms, 271B)
[2026-04-04T03:45:06.116Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F600SemiBold/Fredoka_600SemiBold.ttf → 200 (3ms, 49900B)
[2026-04-04T03:45:15.331Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&id=eq.95baaba7-f627-42f4-828f-d6422d88ac9b → pending (?ms, ?B)
[2026-04-04T03:45:15.332Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/memories?select=*&wedding_id=eq.95baaba7-f627-42f4-828f-d6422d88ac9b → pending (?ms, ?B)
[2026-04-04T03:45:42.012Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (166ms, 318B)
[2026-04-04T03:48:29.666Z] GET http://localhost:8081/settings → 200 (10ms, 1280B)
[2026-04-04T03:48:29.679Z] GET http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable → pending (?ms, ?B)
[2026-04-04T03:48:29.947Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F400Regular/Fredoka_400Regular.ttf → 200 (1ms, 50004B)
[2026-04-04T03:48:29.947Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F600SemiBold/Fredoka_600SemiBold.ttf → 200 (1ms, 49900B)
[2026-04-04T03:48:29.947Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F400Regular/Gaegu_400Regular.ttf → 200 (10ms, 3164924B)
[2026-04-04T03:48:29.947Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (10ms, 2961780B)
[2026-04-04T03:48:29.963Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo%2Fvector-icons%2Fbuild%2Fvendor%2Freact-native-vector-icons%2FFonts/Ionicons.ttf → 200 (24ms, 389724B)
[2026-04-04T03:48:29.987Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (5ms, 2961780B)
[2026-04-04T03:48:29.987Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (680ms, 318B)
[2026-04-04T03:48:39.660Z] POST https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/logout?scope=global → pending (?ms, ?B)
[2026-04-04T03:48:39.867Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F600SemiBold/Fredoka_600SemiBold.ttf → 200 (3ms, 49900B)
[2026-04-04T03:48:56.816Z] POST https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/signup → 200 (138ms, 1135B)
[2026-04-04T03:48:56.965Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (189ms, 319B)
[2026-04-04T03:48:57.155Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&user_id=eq.00a50445-5853-43ab-bfc1-a33f2cb5324f&order=date.asc → 200 (543ms, 2B)
[2026-04-04T03:50:09.324Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (351ms, 319B)
[2026-04-04T03:50:09.678Z] POST https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=* → pending (?ms, ?B)
[2026-04-04T03:50:10.162Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (138ms, 319B)
[2026-04-04T03:50:10.303Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&user_id=eq.00a50445-5853-43ab-bfc1-a33f2cb5324f&order=date.asc → 200 (258ms, 265B)
[2026-04-04T03:50:43.377Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=id,groom_name,bride_name,wedding_date&order=created_at.desc&limit=3 → pending (?ms, ?B)
[2026-04-04T03:50:53.788Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&limit=3 → pending (?ms, ?B)
[2026-04-04T03:51:04.141Z] PATCH https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?id=eq.5676cfd9-e2ad-4e5d-b6b9-617121950d57 → 204 (169ms, ?B)
[2026-04-04T03:51:13.144Z] GET http://localhost:8081/ → 200 (4ms, 1280B)
[2026-04-04T03:51:13.150Z] GET http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable → 200 (119ms, 5792680B)
[2026-04-04T03:51:13.398Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F400Regular/Fredoka_400Regular.ttf → 200 (1ms, 50004B)
[2026-04-04T03:51:13.398Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F600SemiBold/Fredoka_600SemiBold.ttf → 200 (1ms, 49900B)
[2026-04-04T03:51:13.398Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F400Regular/Gaegu_400Regular.ttf → 200 (12ms, 3164924B)
[2026-04-04T03:51:13.398Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (13ms, 2961780B)
[2026-04-04T03:51:13.438Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (225ms, 319B)
[2026-04-04T03:51:13.664Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&user_id=eq.00a50445-5853-43ab-bfc1-a33f2cb5324f&order=date.asc → 200 (197ms, 266B)
[2026-04-04T03:51:36.873Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&id=eq.5676cfd9-e2ad-4e5d-b6b9-617121950d57 → pending (?ms, ?B)
[2026-04-04T03:51:36.873Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/memories?select=*&wedding_id=eq.5676cfd9-e2ad-4e5d-b6b9-617121950d57 → pending (?ms, ?B)
[2026-04-04T03:51:37.134Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo%2Fvector-icons%2Fbuild%2Fvendor%2Freact-native-vector-icons%2FFonts/Ionicons.ttf → 200 (5ms, 389724B)
[2026-04-04T03:51:37.138Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (10ms, 2961780B)
